ID,Indicator Name,Alternate (Display) Name,Indicator Definition,Measure Type,Numerator Definition,Denominator Definition,Additional Indicator Details,Nutrition Domain,Sub-domain,Indicator Code,Helix Indicator Code,Core Indicator,SOWC Indicator,SDG Indicator,SDG Indicator Code,Strategic Plan Indicator,Strategic Plan Indicator Code,Emergency Indicator,Data Quality Indicator,Collection Mechanism,Year Assignment Method,Base Population,Aggregation Method,WPP Population Used,Aggregation Notes,Decision Engine Status,Notes,Compliance Asset Id,WPP_CND_REGEX,Custodian(s)
49,Height-for-age <-3SD & Weight-for-height <-2SD,Wasted and Severely stunted (WHZ <-2 AND HAZ <-3),Percentage of children under 5 years of age who are both wasted and severely stunted,Proportion,Number of children under 5 falling below -2 standard deviations from the median weight-for-height and falling below -3 standard deviations from the median height for age of the reference population,Children under 5 years of age in the surveyed population with valid heights-for-age and valid weights-for-height,,Anthropometry,Child Anthropometry,ANT_HAZWHZ_NE3_NE2,NT_ANT_HAZWHZ_NE3_NE2,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF"
50,miss_day_of_birth,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_MISSDOB,NT_ANT_CHA_MISSDOB,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
51,miss_monthyear_of_birth,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_MISSMOY,NT_ANT_CHA_MISSMOY,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
52,wrong_position,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_WROPOS,NT_ANT_CHA_WROPOS,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
53,invalid_dob,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_INVDOB,NT_ANT_CHA_INVDOB,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
54,miss_height,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_MISSHGT,NT_ANT_CHA_MISSHGT,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
55,miss_weight,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_MISSWGT,NT_ANT_CHA_MISSWGT,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
56,miss_haz,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_MISSHAZ,NT_ANT_CHA_MISSHAZ,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
57,miss_waz,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_MISSWAZ,NT_ANT_CHA_MISSWAZ,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
58,miss_whz,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_MISSWHZ,NT_ANT_CHA_MISSWHZ,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
59,oedema_cases,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_OED,NT_ANT_CHA_OED,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
60,oedema_missing,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_MISSOED,NT_ANT_CHA_MISSOED,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
61,Early Initiation of Breastfeeding,,Percentage of children born in the last 24 months who were put to the breast within one hour of birth,Proportion,Children born in the last 24 months who were put to the breast within one hour of birth,Children born in the last 24 months,,Infant and Young Child Feeding,Breastfeeding,BF_EIBF,NT_BF_EIBF,True,True,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,All Births,Crude Country Weighted Aggregation,All Births,,Active,,,births,"Division of Analysis, Planning and Monitoring, UNICEF"
62,Continued Breastfeeding (0-23 months),Breastfeeding among children under 2 years,Percentage of children 0–23 months of age who were fed with breast milk during the previous day,Proportion,Children 0-23 months of age who received breast milk during the previous day,Children 0-23 months of age,,Infant and Young Child Feeding,Breastfeeding,BF_CBF,NT_BF_CBF,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 23 months,Crude Country Weighted Aggregation,0 to 23 months,,Active,,,pop_month_0_23,"Division of Analysis, Planning and Monitoring, UNICEF"
63,Continued Breastfeeding (12-15 months),Continued Breastfeeding at 1 year,Percentage of children 12–15 months of age who were fed with breast milk during the previous day.,Proportion,Children 12-15 months of age who were fed breast milk during the previous day,Children 12-15 months of age,"This indicator has been replaced with the new indicator - Continued breastfeeding among children 12-23 months of age. It is  recommended that this new indicator be disaggregated and reported for the age-groups of 12-15months, 16-19months and 20-23months.",Infant and Young Child Feeding,Breastfeeding,BF_CBF_12_15,NT_BF_CBF_12_15,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,12 to 15 months,Crude Country Weighted Aggregation,12 to 15 months,,Active,,,pop_month_12_15,"Division of Analysis, Planning and Monitoring, UNICEF"
64,Breastfeeding Area Graphs: Weaned (0 - 23 months),No Breastmilk (0-23 months),Percentage of infants 0-23 months of age who did not receive any breastmilk,Proportion,Number of infants 0-23 months of age who were not breastfed,Infants 0-23 months of age,"Oral rehydration salts, vitamins, minerals or medicines are not considered part of any feeding category.",Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_23_WEANED,NT_BF_AREA_0_23_WEANED,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 23 months,Crude Country Weighted Aggregation,0 to 23 months,,Derived,,,pop_month_0_23,"Division of Analysis, Planning and Monitoring, UNICEF"
65,Continued Breastfeeding (20-23 months),Continued Breastfeeding at 2 years,Percentage of children 20-23 months of age who were fed breast milk during the previous day,Proportion,Children 20-23 months of age who were fed breast milk during the previous day,Children 20-23 months of age,,Infant and Young Child Feeding,Breastfeeding,BF_CBF_20_23,NT_BF_CBF_20_23,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,20 to 23 months,Crude Country Weighted Aggregation,20 to 23 months,,Active,,,pop_month_20_23,"Division of Analysis, Planning and Monitoring, UNICEF"
66,Breastfeeding Area Graphs: Exclusive Breastfeeding (0-23 months),Breastmilk only (0-23 months),Percentage of infants 0-23 months of age who received only breastmilk,Proportion,Number of infants 0-23 months of age who were fed only breastmilk,Infants 0-23 months of age,"Children that were only fed breast milk in the 24 hours before the survey. These infants would not have received water-based liquids, milk based-liquids or food.
Oral rehydration salts, vitamins, minerals or medicines are not considered part of any feeding category.",Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_23_EXBF,NT_BF_AREA_0_23_EXBF,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 23 months,Crude Country Weighted Aggregation,0 to 23 months,,Derived,,,pop_month_0_23,"Division of Analysis, Planning and Monitoring, UNICEF"
67,Breastfeeding Area Graphs: Breastfeeding and Plain Water (0-23 months),Breastmilk and plain water (0-23 months),Percentage of infants 0-23 months of age who received breastmilk and plain water,Proportion,Number of infants 0-23 months of age who were fed breastmilk and plain water,Infants 0-23 months of age,Children that were fed breast milk plus plain water in the 24 hours before the survey.,Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_23_BF_PLAIN,NT_BF_AREA_0_23_BF_PLAIN,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 23 months,Crude Country Weighted Aggregation,0 to 23 months,,Derived,,,pop_month_0_23,"Division of Analysis, Planning and Monitoring, UNICEF"
68,Breastfeeding Area Graphs: Breastfeeding and Other Liquids (0-23 months),Breastmilk and non-milk liquids (0-23 months),Percentage of infants 0-23 months of age who received breastmilk and non-milk liquids,Proportion,Number of infants 0-23 months of age who were fed breastmilk and non-milk liquids,Infants 0-23 months of age,"Children fed breast milk plus non milk liquids (e.g. juice, herbal tea, sweetened water, flavored water, etc.) in the 24 hours before the survey. Children in this category may also have been fed plain water.
Oral rehydration salts, vitamins, minerals or medicines are not considered part of any feeding category.",Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_23_OTHER,NT_BF_AREA_0_23_OTHER,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 23 months,Crude Country Weighted Aggregation,0 to 23 months,,Derived,,,pop_month_0_23,"Division of Analysis, Planning and Monitoring, UNICEF"
69,Breastfeeding Area Graphs: Breastfeeding and Dairy (0-23 months),Breastmilk and other milk / formula (0-23 months),Percentage of infants 0-23 months of age who received breastmilk and formula/other milk,Proportion,Number of infants 0-23 months of age who were fed breastmilk and formula/other milk,Infants 0-23 months of age,"Children fed breast milk plus formula and/or other milk (e.g. infant formula, liquid milk, canned milk, powdered milk, etc.) in the 24 hours before the survey. Children in this category may also have been fed plain water and/or non-milk liquids.
Oral rehydration salts, vitamins, minerals or medicines are not considered part of any feeding category.",Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_23_BF_DAIRY,NT_BF_AREA_0_23_BF_DAIRY,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 23 months,Crude Country Weighted Aggregation,0 to 23 months,,Derived,,,pop_month_0_23,"Division of Analysis, Planning and Monitoring, UNICEF"
70,Breastfeeding Area Graphs: Don't Know (0-23 months),,,Proportion,,,,Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_23_DK,NT_BF_AREA_0_23_DK,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 23 months,Not Aggregated,0 to 23 months,,Derived,,,pop_month_0_23,"Division of Analysis, Planning and Monitoring, UNICEF"
